name,intro,label,predict_label
手工皂的植感生活,香草植物入皂，是許多學員想涉入的專業領域。而本課程內容是以<港北社區香草公園>所種植的香草植物為基礎，利用不同方法，將植物在新鮮、或乾燥、粉狀、煮汁或是製成精油、浸泡油等型態，為手工皂所運用。成為大家所喜愛的天然、無負擔的生活洗劑。,環境永續、美感教育,非上述屬性
丙級中式麵食-酥漿糕皮類,"參與上課學員均可學會中式傳統糕點,
證照考試:
1.丙級中式酥油皮,糕綠皮麵類(好吃的中式點心自己也可以動手做)
",美感教育,非上述屬性
蝶古巴特輕鬆學（後9週）,"課程目標：
認識蝶古巴特這項平民藝術,增進自我的生活美學,鑑賞能力。
並且以簡單的剪裁圖案與熟練的貼圖技巧為設計概念,藉由學會基本拼貼技法後，再進入彩繪修飾與技法處理,搭配不同坯體,運用多元媒材,做出一個個展現自我創作的藝術品。
",美感教育,人權法治、傳統藝術、美感教育
數據會說話～談投資入門,"因應全球銀行利息逐漸微薄,甚至進入零利率時代要將本金寄放銀行還需保管費的窘境,應儘早為投資人教育[股票/期貨/選擇權]的投資管道,讓其本金皆有所屬的投資歸依而無需呆放在銀行。",非上述屬性,非上述屬性
親子律動故事瑜珈武術,以孩子喜歡的故事，搭配有趣的遊戲，引導孩子快樂練習瑜伽體位法、呼吸法、武術及靜心，從中了解自己的身體及練習自我覺察，訓練專注力，促進身心健康。,代間學習、生命教育、家庭教育,非上述屬性
迷人風格~韓式蠟燭,"為自己找到紓壓出口，增加優雅甜蜜的生活情趣，一起學習DIY美麗可愛的韓式蠟燭吧!!
不需要任製作蠟燭基礎，即可經由這次系列課程，由淺入深，完成每件風格蠟燭作品。動動手帶來成就感！製作這些作品的同時立即帶來心情上的療癒與滿足。",美感教育,非上述屬性
美睫檢定考照班,老師會教授美睫課程應有之安全的專業知識與技術，並輔助學生考取證照培養美睫技能的認可，以利學生將來就業或開業時多了一份認定。TNL二級檢定目前為接受勞動部指甲彩繪技能職類測驗認證輔導單位。,美感教育,傳統藝術
導引藝術-舞太極,"本課程教學理念為以深入淺出的方式引導學員開發身體的自覺，進而開發身體的潛能。
規劃動機為推廣太極的自覺運動，讓太極文化更易於一般民眾入門。
",生命教育、美感教育,民俗文化資產、美感教育
Fun 鬆做瑜珈E班,"瑜伽改善身體的不平衡， 並藉由呼吸強化自律神經,淨化血液，達到健美強身的目的 。只要學會瑜伽並持之以恆的練習，將發現身體越做越好。",美感教育,非上述屬性
新住民中文班-高級A,"以聽、說、讀、寫、唱，帶領新住民，使新住民能快速的融入台灣的社會，並能對台灣的文化概況、語言、風俗能有所瞭解。
更希望新住民不僅僅只是為傳宗接代繁衍子孫而來，而是希望新住民能夠提升自己的能力。有能力自己親自指導自己的孩子，能徹底的了解孩子在校所學的科目，能有良善的親子關係及親師合作。 ",新住民課程,新住民課程、民俗文化資產
新住民中文班-高級B,"以聽、說、讀、寫、唱，帶領新住民，使新住民能快速的融入台灣的社會，並能對台灣的文化概況、語言、風俗能有所瞭解。
更希望新住民不僅僅只是為傳宗接代繁衍子孫而來，而是希望新住民能夠提升自己的能力。有能力自己親自指導自己的孩子，能徹底的了解孩子在校所學的科目，能有良善的親子關係及親師合作。 ",新住民課程,新住民課程、民俗文化資產
水水走新竹～水圳踏查,藉由竹塹社大環境議題的教師課程與工作坊，讓水圳與周邊居民對話，能自發、共好、互動地關注隆恩圳，並於課程結束後，組成一自發性的社團，持續關注隆恩圳水圳及周邊的公共議題,環境永續、地方學,環境永續
歐式麵包午茶輕食料理,"
歐式天然酵母麵包搭配蔬食料理,下午茶餐廳在我家
健康美味同時兼顧,搭配
",美感教育,非上述屬性
凝膠美甲創業初階班,美甲凝膠技術是現代的潮流與趨勢，為培養男女多一技之長，婦女們也能有二度就業機會，本課程將從基礎理論、進而創意、造型大結合，讓有興趣學習者能因此擁有專業技術，進而簡單創業增加收入‧,美感教育,非上述屬性
簡單學攝影- （手機）攝影基礎班,"教學熱忱、攝影經驗豐富，深具美學、美術涵養。全課程並佐以分組方式配置，以協助每位學員達成教學目標。

",美感教育,科技學習、美感教育
玩拼貼愛地球（延二）,"愛地球做環保是身為現代人必須做到的一項全民運動。
能夠運用拼貼的方式.來改造生活中棄之可惜的回收物品.是一件很有成就感的事情
也讓蝶古巴特不只是裝飾藝術.更是環保結合藝術的一大突破與創意表現

",美感教育、環境永續,環境永續、美感教育
療癒瑜珈(3/24開課),"1.練習觀’自己的呼吸、觀自己身體的感受、觀自己的情緒變化，認識與探索我是誰。
2.練習找回專注與放鬆的能力。

",美感教育,生命教育
office辦公室軟體實務應用,"Microsoft Office在企業電腦化中可說是最為廣泛使用的辦公軟體，本課程將教授目前使用率最高的三大商用軟體Word、Excel、PowerPoint，不論是編排報告、試算數據、製作簡報，均能正確的導入實際的功能與技巧。
",科技學習,科技學習
質感手作：園藝盆栽彩繪容器(延後兩周),"1.彩繪盆栽容器，栽種適合植物，放置適當位置，全部的過程-療癒又紓壓
2.認識全日照半日照植物，覺察自家房屋適合植物方位、及照顧方式。
3.學會DIY 彩繪不同容器，選擇栽種適當植物。
4.結合彩繪容器與盆栽園藝。
場地費另計:400元",美感教育,傳統藝術
新住民中文班-初級,"以聽、說、讀、寫、唱，帶領新住民，使新住民能快速的融入台灣的社會，並能對台灣的文化概況、語言、風俗能有所瞭解。
更希望新住民不僅僅只是為傳宗接代繁衍子孫而來，而是希望新住民能夠提升自己的能力。有能力自己親自指導自己的孩子，能徹底的了解孩子在校所學的科目，能有良善的親子關係及親師合作。 ",新住民課程,新住民課程、民俗文化資產
讀雜誌學英語（中級）,使學員得以透過雜誌快樂學習英語。,英語教育,英語教育
紙飛機創意模型,本紙製飛機課程使用紙製印刷材料，經適當裁剪黏合後，成品極似模型，除使學生加強專注力外，藉拚合過程，更能激發其基礎邏輯思維能力。教材比例結合真實飛機現況，相關氣動力符合空氣動力學，可藉拋擲飛行，訓練學生初階氣動力概念,非上述屬性,傳統藝術、國防教育
微笑天使-給大家的劇場遊戲-找回身體本能,"1.從自身的呼吸、行、坐等不同肌群、神經運作，覺察身心的連結，重拾身心合一的整體觀。
2.大量遊戲有助於參與者對自身的感知，而後能延伸至人與人、人與物件、人與地心引力、環境等議題。 
3.認識被壓迫者劇場的語彙、聲音、形象技巧到論壇劇場。",生命教育、美感教育,環境永續
傳統手作木工榫接傳承班,"開設這門課主要希望傳統手作木工這門技藝能夠傳承!!
也希望傳統木工工具能夠多一些人學習到如何使用!!
在不插電的情況下仍能創作出自己想要的傢俱",美感教育、傳統藝術,非上述屬性
歡唱卡拉OK B班,"一、理念: 結合氣功與發聲方法，推廣正確演唱卡拉OK的技巧。  
二、目標: (一)學員能學會養聲氣功及正確的演唱方法。 
         (二)學員能以樂會友，引吭高歌。 
         (三)學員能熱心參與社區歌唱表演及比賽。 
",美感教育,非上述屬性
快樂學越南語（進階）,本課程的主要目標是讓學生學習越南語，在學習越南語之餘，也能更加瞭解越南文化。,非上述屬性,民俗文化資產
歡唱日語卡拉ok,歡唱日語歌曲及探討日本文化,美感教育,民俗文化資產
世界遺產潛力點小旅行-台灣篇,"1.能說出文化資產的問題。
2.能實地探訪文化資產，找出環境與文化的問題。
3.能欣賞文化資產的狀態與外觀。",公民素養、環境永續、地方學、民俗文化資產,民俗文化資產、環境永續
丙級麵包證照班,"參與上課學員均可學會祇用健康的食材就能做出美味好吃的麵包,
可參加丙級麵包證照考試:
",美感教育,非上述屬性
歡唱卡拉OK A班,"一、理念: 結合氣功與發聲方法，推廣正確演唱卡拉OK的技巧。  
二、目標: (一)學員能學會養聲氣功及正確的演唱方法。 
         (二)學員能以樂會友，引吭高歌。 
         (三)學員能熱心參與社區歌唱表演及比賽。 
",美感教育,非上述屬性
桃竹苗古道探索-中級A,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-初級E,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-初級I,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
鄭子簡易太極拳初階,"
1.緣由:發揚中國固有國粹之太極藝術，增進國人健康。
2.學科/知識與理論:
學科：中華太極文化之介紹，概說太極之淵源及派別流傳，以及現今普傳之太極拳賞析。
知識與理論:以太極功法為基礎，教導學員们運動防護的觀念及日常生活正確的活動姿勢，",美感教育、生命教育,民俗文化資產、美感教育
土窯料理與烘焙-實作基礎班,"柴燒土窯料理，是早期人類生活的一部份，但現代的人卻沒有機會接觸學習。
柴燒土窯料理是一種節能環保的料理方式，且遠紅外線對食材的穿透力與料理之口感與味道非其他料理方式所能比擬，對食材的能量能做最好的保存，對食用者的身心有極高的價值。",美感教育,環境永續
小提琴輕鬆學,"本課程主要培養優良的演奏能力、精神與態度，推廣音樂藝術,，輕鬆享受音樂的國度。",美感教育,傳統藝術、美感教育
竹塹老樹巡禮,"以尋找社區老樹，學習老樹的生命智慧。透過室內與戶外的課程，學習認識老樹的成長故事，思辨社區老樹的價值與未來。
一 探索竹塹珍貴老樹的生命故事。
二 瞭解社區老樹存在的價值。
三 學習老樹成長的生命智慧。
四 關懷社區老樹的未來。",環境永續、地方學,非上述屬性
自然建築之～高效節能麵包土窯,認識從搖籃到搖籃的永續精神。運用就地取材的自然材料創造的高效節能麵包土窯，柴火加熱窯體，能量蓄滿後，依階段溫度可料理全食物（不只是麵包），土窯蓄積的熱能一個家庭可以連續使用達四天，善用能源便不需添大量柴火，達到低能源高料理產出的效益。,環境永續、山野教育,民俗文化資產、環境永續
抒壓生活陶藝及實用-陽光下的小桌設計,"1.讓每個人在玩土過程中快樂而輕鬆的學習陶藝基礎技法，發揮創造力激發潛能並建立自信。
2.用手探索感受來自大自然的土的溫潤與柔軟，並用其表達內心的當下的念想，創作可以應用在生活中的陶藝作品，落實生活美學。",美感教育、傳統藝術,環境永續、美感教育
社區協力農場港北實作-親近土地，享受生活,課程目標：提供都會人口得以親近土地，享受種植樂趣，增加生活情趣，從而進一步達成喜歡自然，熱愛土地的環保素養。,環境永續、社區總體營造、地方學,公民素養、環境永續
桃竹苗古道探索-中級B,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-初級D,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-高級A,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
微笑天使-養生樂活二胡,藉由學習拉奏二胡，訓練大腦控制左右手互相配合，演奏美妙的音樂。既能強腦健身，又可增強神經反應。也藉著二胡音樂來陶冶性情，增進生活樂趣，真乃養生樂活二胡是也。,美感教育、傳統藝術,傳統藝術
導引藝術-42式太極拳,"1.緣由:
發揚中國固有國粹之太極藝術，增進國人健康。
2.學科/知識與理論:
學科：中華太極文化之介紹，概說太極之淵源及派別流傳，以及現今普傳之太極拳賞析。
知識與理論:以太極功法為基礎，教導學員们運動防護的觀念及日常生活正確的活動姿勢",生命教育、美感教育,民俗文化資產、美感教育
導引藝術--42式太極劍,"1.緣由:
發揚中國固有國粹之太極藝術，增進國人健康。
2.學科/知識與理論:
學科：中華太極文化之介紹，概說太極之淵源及派別流傳，以及現今普傳之太極拳賞析。
知識與理論:以太極功法為基礎，教導學員们運動防護的觀念及日常生活正確的活動姿勢",生命教育、美感教育,民俗文化資產、美感教育
環境生態與永續旅遊,促進生態教育與永續發展的教學目標：培育環境保護、生態保育及森林保存價值觀念，傳授生態環境問題及永續發展的知識。,環境永續,山野教育、環境永續、社區總體營造
中東肚皮舞初級,"1.讓學員在跳舞的同時，讓自己心靈愉快，達到解壓放鬆、增添樂趣的目的。
2.增進對中東國家文化和藝術的認識，拓展國際視野及藝文品味。
3.突破對上台表演的恐懼感，明白舞台演出的要訣，舞出自信。
4.加強對舞蹈動作技巧的吸收和理解。",美感教育,傳統藝術、民俗文化資產、美感教育
